TagID,TagName,Description,TagType,TagDataType,MaxRawValue,MinRawValue,MaxValue,MinValue,NonLinearTableName,ConvertType,IsFilter,DeadBand,Unit,ChannelName,DeviceName,ChannelDriver,DeviceSeries,DeviceSeriesType,CollectControl,CollectInterval,CollectOffset,TimeZoneBias,TimeAdjustment,Enable,ForceWrite,ItemName,RegName,RegType,ItemDataType,ItemAccessMode,HisRecordMode,HisDeadBand,HisInterval,TagGroup
5020,Group1_FCS0101!2LAH5001A_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001A.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5021,Group1_FCS0101!2LAH5001B-ALRM_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B-ALRM.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5022,Group1_FCS0101!2LAH5001B-ALRM_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B-ALRM.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5023,Group1_FCS0101!2LAH5001B-ALRM_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B-ALRM.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5024,Group1_FCS0101!2LAH5001B-ALRM_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B-ALRM.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5025,Group1_FCS0101!2LAH5001B_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5026,Group1_FCS0101!2LAH5001B_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5027,Group1_FCS0101!2LAH5001B_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5028,Group1_FCS0101!2LAH5001B_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001B.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5029,Group1_FCS0101!2LAH5001C-ALRM_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001C-ALRM.HH,,0,DOUBLE,读写,不记录,0.000000,60,
